,word,num
1864,尜,2
1865,滴,2
1866,蹁,2
1867,纡,2
1868,击,2
1869,淑,2
1870,味,2
1871,啸,2
1872,贺,2
1873,沣,2
1874,咎,2
1875,枅,2
1876,婞,2
1877,漱,2
1878,晤,2
1879,苍,2
1880,除,2
1881,躅,2
1882,嫔,2
1883,叽,2
1884,冠,2
1885,鲶,2
1886,睎,2
1887,驳,2
1888,计,2
1889,啜,2
1890,翱,2
1891,硗,2
1892,猢,2
1893,刚,2
1894,蔡,2
1895,堆,2
1896,囊,2
1897,闼,2
1898,谛,2
1899,钡,2
1900,铩,2
1901,柺,2
1902,拮,2
1903,鄙,2
1904,璐,2
1905,虍,2
1906,跺,2
1907,嗣,2
1908,蓥,2
1909,枞,2
